"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /api/products should return 200 OK with a JSON array","47","GetAllProducts_Returns_200_With_Json_Array","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetAllProducts_Returns_200_With_Json_Array"
"GET /api/products/{id} for a valid product should return 200 OK with the product details","29","GetProductById_Returns_200_With_Correct_Product","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetProductById_Returns_200_With_Correct_Product"
"Admin login page should render all key UI elements","820","Admin_Login_Page_Renders_Correctly","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Page_Renders_Correctly"
"PUT /api/products/{id} should update the product and return 204 No Content","33","UpdateProduct_Returns_NoContent_And_Saves_Changes","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","UpdateProduct_Returns_NoContent_And_Saves_Changes"
"Homepage should display exactly 4 category cards","970","Storefront_Displays_Four_Category_Cards","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Displays_Four_Category_Cards"
"GET /api/products/{id} for a non-existent ID should return 404 Not Found","10","GetProductById_Returns_404_For_NonExistent_Id","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetProductById_Returns_404_For_NonExistent_Id"
"POST /api/products should create a new product and return 201 Created with the created entity","1152","CreateProduct_Returns_201_With_Created_Product","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","CreateProduct_Returns_201_With_Created_Product"
"Clicking the admin lock icon should redirect to the admin login page","2444","Admin_Icon_Click_Redirects_To_Login","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Admin_Icon_Click_Redirects_To_Login"
"Hero section should display the correct brand title","928","Storefront_Hero_Displays_Correct_Title","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Hero_Displays_Correct_Title"
"Unauthenticated user navigating to /Products should be redirected to login","368","Unauthenticated_Access_To_Products_Redirects_To_Login","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Unauthenticated_Access_To_Products_Redirects_To_Login"
